,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
72,2020,Data Scientist,MI,FT,"3,357,594.00",FR,FR,S,50
73,2021,Research Scientist,EN,FT,"6,566,712.00",GB,GB,L,50
74,2021,BI Data Analyst,EX,FT,"11,935,425.00",IN,US,L,100
75,2021,Head of Data,EX,FT,"18,698,833.00",US,US,L,100
76,2021,Data Scientist,SE,FT,"4,232,461.00",FR,FR,L,50
77,2021,BI Data Analyst,MI,FT,"7,956,950.00",US,US,M,100
78,2021,3D Computer Vision Researcher,MI,PT,"430,391.00",IN,IN,M,50
79,2021,ML Engineer,MI,CT,"21,483,765.00",US,US,L,100
80,2021,Data Analyst,EN,FT,"6,365,560.00",US,US,M,100
81,2021,Data Analytics Engineer,SE,FT,"6,301,666.00",DE,DE,L,100
82,2021,Data Engineer,MI,FT,"11,139,730.00",US,US,L,100
83,2021,Applied Data Scientist,MI,FT,"4,315,691.00",GB,CA,L,50
84,2021,Machine Learning Engineer,MI,FT,"3,762,205.00",ES,ES,S,100
85,2021,Director of Data Science,EX,FT,"12,227,206.00",IT,PL,L,100
86,2021,Data Engineer,MI,FT,"2,265,821.00",PL,PL,L,100
87,2021,Data Analyst,EN,FT,"4,702,717.00",FR,FR,M,50
88,2021,Data Analytics Engineer,MI,FT,"8,752,645.00",US,US,L,100
89,2021,Lead Data Analyst,SE,FT,"13,526,815.00",US,US,L,100
90,2021,Data Analyst,SE,FT,"6,365,560.00",BG,US,S,100
91,2021,Marketing Data Analyst,SE,FT,"7,054,154.00",GR,DK,L,100
92,2021,Data Science Consultant,EN,FT,"6,113,563.00",DE,DE,S,100
93,2021,Lead Data Analyst,MI,FT,"1,560,278.00",IN,IN,L,100
94,2021,Lead Data Engineer,SE,FT,"21,961,182.00",US,US,L,NaN
95,2021,Data Scientist,EN,FT,"2,367,272.00",IN,IN,L,50
96,2021,Cloud Data Engineer,MI,FT,"7,105,079.00",SG,SG,L,50
97,2021,AI Scientist,EN,PT,"954,834.00",BR,US,S,100
98,2021,Financial Data Analyst,MI,FT,"35,806,275.00",US,US,L,100
99,2021,Computer Vision Software Engineer,EN,FT,"5,569,865.00",US,US,M,100
100,2021,Computer Vision Software Engineer,MI,FT,"7,618,461.00",DE,US,S,100
101,2021,Data Analyst,MI,FT,"5,967,713.00",US,US,L,NaN
102,2021,Data Engineer,SE,FT,"11,935,425.00",US,US,L,100
103,2021,BI Data Analyst,MI,FT,"2,885,111.00",HU,US,L,50
104,2021,Data Analyst,MI,FT,"4,933,309.00",US,US,L,NaN
105,2021,Data Scientist,MI,FT,"5,808,574.00",US,US,L,NaN
106,2021,Data Analyst,MI,FT,"4,099,341.00",GB,GB,L,50
107,2021,Research Scientist,MI,FT,"14,914,666.00",CA,CA,L,100
108,2021,Data Engineer,SE,FT,"9,150,493.00",US,US,S,100
109,2021,Data Engineer,SE,FT,"11,935,425.00",US,US,M,100
110,2021,Data Engineer,EN,FT,"2,421,141.00",IN,IN,L,100
111,2021,Machine Learning Engineer,SE,FT,"7,524,410.00",DE,DE,L,50
112,2021,Director of Data Engineering,SE,FT,"9,029,229.00",GB,GB,M,100
113,2021,Lead Data Engineer,SE,FT,"8,208,390.00",GB,GB,S,100
114,2021,AI Scientist,EN,PT,"954,834.00",PK,US,M,100
115,2021,Data Engineer,MI,FT,"3,611,739.00",NL,NL,L,100
116,2021,Machine Learning Scientist,EN,FT,"17,903,138.00",US,US,L,100
117,2021,Data Scientist,MI,FT,"3,978,475.00",NG,NG,L,100
118,2021,Data Science Engineer,MI,FT,"3,197,819.00",GR,GR,M,100
119,2021,Data Analyst,EN,FT,"7,161,255.00",US,US,S,100
120,2021,Data Engineer,MI,FT,"15,913,900.00",US,US,L,100
121,2021,Big Data Engineer,MI,FT,"4,774,170.00",ES,RO,M,50
122,2021,Principal Data Engineer,SE,FT,"15,913,900.00",US,US,M,100
123,2021,Data Analyst,EN,FT,"3,978,475.00",US,US,M,100
124,2021,Applied Data Scientist,EN,FT,"8,755,589.00",GB,GB,L,NaN
125,2021,Data Analyst,EN,PT,"823,863.00",ES,ES,M,50
126,2021,Principal Data Scientist,MI,FT,"12,014,995.00",US,US,L,100
127,2021,Machine Learning Scientist,SE,FT,"9,548,340.00",US,US,S,50
128,2021,Data Scientist,MI,FT,"753,205.00",IN,IN,S,NaN
129,2021,Machine Learning Engineer,EN,FT,"1,591,390.00",IN,IN,S,100
130,2021,Lead Data Scientist,SE,FT,"3,228,135.00",IN,IN,L,50
131,2021,Machine Learning Developer,EN,FT,"7,956,950.00",IQ,IQ,S,50
132,2021,Data Scientist,EN,FT,"3,950,307.00",FR,FR,M,50
133,2021,Applied Machine Learning Scientist,MI,FT,"3,055,469.00",VN,US,M,100
134,2021,Computer Vision Engineer,SE,FT,"1,909,668.00",BR,BR,M,100
135,2021,Data Scientist,EN,FT,"7,956,950.00",US,US,S,NaN
136,2021,Data Analyst,MI,FT,"7,161,255.00",US,US,M,100
137,2021,ML Engineer,MI,FT,"5,069,452.00",JP,JP,S,50
138,2021,ML Engineer,MI,FT,"6,155,815.00",JP,JP,S,50
139,2021,Principal Data Scientist,SE,FT,"17,505,290.00",US,US,L,NaN
140,2021,Data Scientist,EN,FT,"6,365,560.00",US,US,M,100
141,2021,Data Analyst,MI,FT,"10,741,883.00",US,US,L,100
142,2021,Data Science Manager,SE,FT,"19,096,680.00",US,US,L,NaN
143,2021,Data Engineering Manager,SE,FT,"11,935,425.00",US,US,L,NaN
144,2021,Data Scientist,MI,FT,"6,564,484.00",US,US,S,100
145,2021,Data Engineer,MI,FT,"7,956,950.00",US,US,L,100
146,2021,Machine Learning Engineer,SE,FT,"6,583,899.00",BE,BE,M,50
147,2021,Research Scientist,MI,FT,"4,984,950.00",FR,FR,M,50
148,2021,Data Engineer,MI,FT,"7,161,255.00",US,US,L,100
149,2021,Data Engineering Manager,SE,FT,"12,174,134.00",US,US,L,100
150,2021,Cloud Data Engineer,SE,FT,"12,731,120.00",BR,US,S,100
151,2021,Director of Data Science,SE,FT,"13,367,676.00",JP,JP,S,NaN
152,2021,Data Scientist,MI,FT,"11,935,425.00",US,US,M,100
153,2021,Data Scientist,MI,FT,"6,029,299.00",CA,CA,L,100
154,2021,Data Scientist,EN,FT,"1,066,231.00",UA,UA,L,100
155,2021,Data Science Manager,SE,FT,"11,458,008.00",US,US,L,100
156,2021,Data Science Engineer,SE,FT,"10,122,911.00",CA,CA,L,50
157,2021,Data Scientist,MI,FT,"9,473,465.00",SG,IL,M,100
158,2021,Applied Machine Learning Scientist,MI,FT,"33,657,899.00",US,US,L,50
159,2021,Data Analytics Manager,SE,FT,"9,548,340.00",US,US,M,100
160,2021,Machine Learning Engineer,EN,FT,"9,946,188.00",US,US,S,100
161,2021,Head of Data,EX,FT,"18,300,985.00",RU,RU,L,50
162,2021,Head of Data Science,EX,FT,"6,763,408.00",RU,RU,M,NaN
163,2021,Data Engineer,MI,FT,"2,257,307.00",MT,MT,L,50
164,2021,Data Science Consultant,EN,FT,"5,079,001.00",DE,DE,L,50
165,2021,Director of Data Science,EX,FT,"10,346,104.00",DE,DE,M,50
166,2021,Data Specialist,SE,FT,"13,128,968.00",US,US,L,100
167,2021,Data Engineer,EN,FT,"6,365,560.00",US,US,L,100
168,2021,Director of Data Science,EX,FT,"19,892,375.00",US,US,L,NaN
169,2021,BI Data Analyst,EN,FT,"4,376,323.00",US,US,S,50
170,2021,Data Architect,MI,FT,"11,935,425.00",US,US,L,100
171,2021,Data Architect,MI,FT,"13,526,815.00",US,US,L,100
172,2021,Data Engineer,MI,FT,"6,566,712.00",GB,GB,L,100
173,2021,Data Analyst,EN,FT,"4,774,170.00",US,US,S,100
174,2021,Principal Data Scientist,SE,FT,"18,698,833.00",US,US,L,100
175,2021,Research Scientist,SE,FT,"4,834,404.00",PT,PT,L,50
176,2021,Data Engineering Manager,SE,FT,"13,845,093.00",US,US,L,100
177,2021,Data Scientist,MI,FT,"227,489.00",MX,MX,S,NaN
178,2021,Data Scientist,MI,FT,"3,185,804.00",CL,CL,L,100
179,2021,Machine Learning Engineer,EN,FT,"6,445,130.00",US,US,S,50
180,2021,Data Scientist,MI,FT,"451,875.00",IN,US,S,100
181,2021,Big Data Engineer,MI,FT,"1,799,146.00",IN,IN,L,NaN
182,2021,Data Scientist,MI,FT,"7,219,659.00",DE,DE,L,50
183,2021,Data Engineer,MI,FT,"2,069,205.00",RO,US,L,NaN
184,2021,Finance Data Analyst,SE,FT,"4,925,034.00",GB,GB,L,50
185,2021,Machine Learning Scientist,MI,FL,"954,834.00",PK,PK,M,50
186,2021,Data Engineer,MI,FT,"318,278.00",IR,IR,M,100
187,2021,Data Analytics Engineer,SE,FT,"3,978,475.00",VN,GB,M,100
188,2021,Data Science Consultant,EX,FT,"5,549,256.00",FR,ES,S,100
189,2021,Data Engineer,SE,FT,"6,113,563.00",RO,GB,S,50
190,2021,Machine Learning Engineer,MI,FT,"5,888,143.00",JP,JP,S,50
191,2021,Data Science Manager,SE,FT,"12,094,564.00",US,FR,L,100
192,2021,Machine Learning Engineer,EN,FT,"1,738,116.00",CO,CO,M,50
193,2021,Big Data Engineer,MI,FT,"1,432,251.00",MD,MD,S,NaN
194,2021,Data Science Manager,SE,FT,"13,845,093.00",US,US,L,100
195,2021,Research Scientist,SE,FT,"7,647,663.00",CA,CA,L,50
196,2021,Data Scientist,MI,FT,"11,696,717.00",US,US,L,50
197,2021,BI Data Analyst,EN,FT,"737,768.00",KE,KE,S,100
198,2021,Machine Learning Engineer,SE,FT,"1,936,881.00",IN,IN,L,100
199,2021,Data Science Manager,SE,FT,"4,304,233.00",IN,US,L,50
200,2021,Data Science Consultant,EN,FT,"7,161,255.00",US,US,S,100
201,2021,Data Scientist,MI,FT,"4,890,898.00",DE,AT,M,50
202,2021,Machine Learning Infrastructure Engineer,SE,FT,"15,516,053.00",US,US,M,100
203,2021,Data Scientist,MI,FT,"3,009,716.00",ES,ES,L,100
204,2021,Research Scientist,SE,FT,"3,978,475.00",FR,US,S,100
205,2021,Data Scientist,MI,FT,"12,731,120.00",US,US,L,100
206,2021,Data Scientist,MI,FT,"1,026,526.00",BR,BR,S,NaN
207,2021,Machine Learning Engineer,SE,FT,"15,913,900.00",US,US,L,100
208,2021,Data Engineer,SE,FT,"13,128,968.00",US,US,M,NaN
209,2021,Data Engineer,MI,FL,"1,591,390.00",IT,US,L,NaN
210,2021,Data Analytics Manager,SE,FT,"9,548,340.00",US,US,L,NaN
211,2021,Machine Learning Engineer,MI,FT,"1,975,154.00",SI,SI,L,50
212,2021,Research Scientist,MI,FT,"4,514,614.00",FR,FR,S,50
213,2021,Data Engineer,MI,FT,"5,253,338.00",HK,GB,S,50
214,2021,Big Data Engineer,EN,FT,"468,028.00",IN,CH,L,NaN
